station_code,station_name,longitude,latitude,elevation_m,observed_at,air_temperature_c,quality
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T00:00:00+05:00,-4.8,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T01:00:00+05:00,-5.5,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T02:00:00+05:00,-6.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T03:00:00+05:00,-6.2,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T04:00:00+05:00,-6.1,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T05:00:00+05:00,-5.7,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T06:00:00+05:00,-5.1,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T07:00:00+05:00,-4.3,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T08:00:00+05:00,-3.4,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T09:00:00+05:00,-2.5,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T10:00:00+05:00,-1.5,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T11:00:00+05:00,-0.6,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T12:00:00+05:00,0.2,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T13:00:00+05:00,0.8,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T14:00:00+05:00,1.2,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T15:00:00+05:00,1.2,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T16:00:00+05:00,1.1,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T17:00:00+05:00,0.6,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T18:00:00+05:00,-0.1,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T19:00:00+05:00,-1.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T20:00:00+05:00,-2.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T21:00:00+05:00,-3.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T22:00:00+05:00,-4.1,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-01T23:00:00+05:00,-5.2,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T00:00:00+05:00,-6.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T01:00:00+05:00,-6.7,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T02:00:00+05:00,-7.2,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T03:00:00+05:00,-7.3,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T04:00:00+05:00,-7.3,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T05:00:00+05:00,-6.9,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T06:00:00+05:00,-6.3,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T07:00:00+05:00,-5.5,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T08:00:00+05:00,-4.6,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T09:00:00+05:00,-3.7,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T10:00:00+05:00,-2.7,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T11:00:00+05:00,-1.8,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T12:00:00+05:00,-1.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T13:00:00+05:00,-0.4,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T14:00:00+05:00,-0.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T15:00:00+05:00,0.0,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T16:00:00+05:00,-0.1,good
FIX-HUNZA-01,Fixture station 01,74.6600,36.3200,2450,2026-01-02T17:00:00+05:00,-0.6,good
